idpers,idhous17,p17a01,p17a04,p17c01,p17c02,p17c08,occupa17,x17i04,age17,sex17,educat17,isced17,edyear17,civsta17,nbpers17,nbkid17,region17,canton17
94049102,940491,,,,,,,inapplicable,38.0,,,,18.0,,4,2,,
94051101,940511,,,,,,,inapplicable,64.0,,,,16.0,,2,0,,
94051102,940511,,,,,,,inapplicable,63.0,,,,12.0,,2,0,,
94052101,940521,,,,,7.0,,inapplicable,33.0,,,,18.0,,3,1,,
94052102,940521,,,,9.0,3.0,,inapplicable,32.0,,,,18.0,,3,1,,
94059101,940591,,4.0,,,,,inapplicable,28.0,,,,12.0,,2,0,,
94059102,940591,,,,,,,inapplicable,30.0,,,,13.0,,2,0,,
94061101,940611,,5.0,,8.0,1.0,,inapplicable,62.0,,,,18.0,,1,0,,
94066101,940661,,5.0,,6.0,,,inapplicable,37.0,,,,18.0,,2,0,,
94066102,940661,,2.0,,8.0,5.0,,inapplicable,30.0,,,,18.0,,2,0,,
94067101,940671,,,,,,,inapplicable,49.0,,,,,,8,2,,
94067102,940671,,,,,,,inapplicable,42.0,,,,,,8,2,,
94067103,940671,,3.0,,,,,inapplicable,25.0,,,,14.0,,8,2,,
94067104,940671,,,,,,,inapplicable,23.0,,,,13.0,,8,2,,
94067105,940671,,,,,,,inapplicable,23.0,,,,9.0,,8,2,,
94067106,940671,,,,,,,inapplicable,18.0,,,,12.0,,8,2,,
94072101,940721,,,,,,,inapplicable,31.0,,,,12.0,,2,0,,
94072102,940721,,,,,,,inapplicable,29.0,,,,13.0,,2,0,,
94073101,940731,,1.0,,8.0,2.0,,inapplicable,47.0,,,,18.0,,3,1,,
94073102,940731,,2.0,,8.0,1.0,,inapplicable,40.0,,,,16.0,,3,1,,
94080101,940801,,2.0,,9.0,,,inapplicable,46.0,,,,18.0,,4,2,,
94080102,940801,,2.0,,9.0,1.0,,inapplicable,46.0,,,,18.0,,4,2,,
94084101,940841,,,,6.0,2.0,,inapplicable,49.0,,,,12.0,,3,2,,
94090101,940901,,,,7.0,,,inapplicable,47.0,,,,16.0,,2,0,,
94090102,940901,,,,9.0,,,inapplicable,44.0,,,,12.0,,2,0,,
94091101,940911,,1.0,,9.0,1.0,,inapplicable,59.0,,,,18.0,,2,0,,
94091102,940911,,,,9.0,,,inapplicable,58.0,,,,18.0,,2,0,,
94098101,940981,,1.0,,8.0,1.0,,inapplicable,54.0,,,,18.0,,1,0,,
94103101,941031,,4.0,,,,,inapplicable,27.0,,,,,,2,0,,
94103102,941031,,,,,,,inapplicable,23.0,,,,12.0,,2,0,,
94107101,941071,,,,7.0,8.0,,inapplicable,59.0,,,,10.0,,2,0,,
94107104,941071,,,,,,,inapplicable,22.0,,,,12.0,,2,0,,
94108101,941081,,4.0,,9.0,2.0,,inapplicable,57.0,,,,16.0,,3,0,,
94108102,941081,,4.0,,9.0,1.0,,inapplicable,52.0,,,,12.0,,3,0,,
94108103,941081,,6.0,,,2.0,,inapplicable,20.0,,,,13.0,,3,0,,
94109101,941091,,,,,,,inapplicable,42.0,,,,,,2,0,,
94109102,941091,,4.0,,9.0,,,inapplicable,30.0,,,,12.0,,2,0,,
94112101,941121,,1.0,,8.0,4.0,,inapplicable,38.0,,,,16.0,,4,2,,
94112102,941121,,4.0,,9.0,,,inapplicable,35.0,,,,18.0,,4,2,,
94113101,941131,,3.0,,,,,inapplicable,40.0,,,,13.0,,3,1,,
94113102,941131,,,,,,,inapplicable,35.0,,,,13.0,,3,1,,
94119101,941191,,,,,,,inapplicable,40.0,,,,12.0,,4,2,,
94119102,941191,,,,,,,inapplicable,33.0,,,,16.0,,4,2,,
94121101,941211,,6.0,,,,,inapplicable,54.0,,,,12.0,,4,0,,
94121102,941211,,4.0,,9.0,1.0,,inapplicable,45.0,,,,12.0,,4,0,,
94121103,941211,,7.0,,8.0,2.0,,inapplicable,21.0,,,,12.0,,4,0,,
94121104,941211,,7.0,,6.0,2.0,,inapplicable,19.0,,,,9.0,,4,0,,
94124101,941241,,1.0,,8.0,3.0,,inapplicable,32.0,,,,18.0,,3,1,,
94124102,941241,,7.0,,,5.0,,inapplicable,31.0,,,,12.0,,3,1,,
94125101,941251,,3.0,,9.0,5.0,,inapplicable,42.0,,,,13.0,,1,0,,
94130101,941301,,2.0,,8.0,1.0,,inapplicable,40.0,,,,12.0,,4,2,,
94130102,941301,,1.0,,,1.0,,inapplicable,37.0,,,,16.0,,4,2,,
94158101,941581,,,,,,,inapplicable,63.0,,,,9.0,,4,0,,
94158102,941581,,,,,,,inapplicable,59.0,,,,12.0,,4,0,,
94158103,941581,,,,,,,inapplicable,23.0,,,,12.0,,4,0,,
94158104,941581,,,,,,,inapplicable,21.0,,,,12.0,,4,0,,
94159101,941591,,3.0,,5.0,4.0,,inapplicable,46.0,,,,18.0,,5,3,,
94159102,941591,,3.0,,7.0,,,inapplicable,45.0,,,,18.0,,5,3,,
94160102,941601,,,,,,,inapplicable,63.0,,,,9.0,,6,2,,
94160103,941601,,,,,,,inapplicable,40.0,,,,9.0,,6,2,,
94160104,941601,,,,,,,inapplicable,39.0,,,,10.0,,6,2,,
94161101,941611,,4.0,,9.0,,,inapplicable,62.0,,,,18.0,,2,0,,
94161102,941611,,3.0,,8.0,,,inapplicable,64.0,,,,16.0,,2,0,,
94169102,941691,,,,8.0,,,inapplicable,60.0,,,,10.0,,2,0,,
94170101,941701,,,,,,,inapplicable,44.0,,,,18.0,,3,1,,
94170102,941701,,3.0,,7.0,1.0,,inapplicable,41.0,,,,18.0,,3,1,,
94171101,941711,,,,,,,inapplicable,51.0,,,,18.0,,3,0,,
94171102,941711,,1.0,,8.0,,,inapplicable,51.0,,,,18.0,,3,0,,
94171103,941711,,3.0,,9.0,,,inapplicable,19.0,,,,12.0,,3,0,,
94179101,941791,,,,9.0,,,inapplicable,63.0,,,,12.0,,3,0,,
94179102,941791,,,,,,,inapplicable,59.0,,,,12.0,,3,0,,
94179103,941791,,,,4.0,6.0,,inapplicable,32.0,,,,12.0,,3,0,,
94182101,941821,,,,,,,inapplicable,58.0,,,,12.0,,2,0,,
94182102,941821,,,,,,,inapplicable,45.0,,,,9.0,,2,0,,
94190101,941901,,,,7.0,3.0,,inapplicable,25.0,,,,12.0,,2,0,,
94190102,941901,,,,,,,inapplicable,21.0,,,,12.0,,2,0,,
94211101,942111,,,,,,,inapplicable,29.0,,,,10.0,,2,0,,
94211102,942111,,7.0,,9.0,2.0,,inapplicable,27.0,,,,18.0,,2,0,,
94221101,942211,,,,,,,inapplicable,52.0,,,,16.0,,3,1,,
94221102,942211,,,,,,,inapplicable,51.0,,,,16.0,,3,1,,
94228101,942281,,3.0,,8.0,2.0,,inapplicable,42.0,,,,9.0,,3,1,,
94228102,942281,,,,8.0,7.0,,inapplicable,32.0,,,,10.0,,3,1,,
94231101,942311,,5.0,,5.0,2.0,,inapplicable,41.0,,,,16.0,,1,0,,
94233101,942331,,,,,,,inapplicable,38.0,,,,12.0,,4,2,,
94233102,942331,,,,,,,inapplicable,36.0,,,,18.0,,4,2,,
94237101,942371,,4.0,,8.0,3.0,,inapplicable,46.0,,,,16.0,,2,0,,
94237102,942371,,,,8.0,4.0,,inapplicable,18.0,,,,9.0,,2,0,,
94239101,942391,,,,,2.0,,inapplicable,36.0,,,,18.0,,3,1,,
94239102,942391,,2.0,,,,,inapplicable,35.0,,,,16.0,,3,1,,
94241101,942411,,7.0,,7.0,,,inapplicable,53.0,,,,12.0,,3,1,,
94241102,942411,,7.0,,9.0,,,inapplicable,49.0,,,,10.0,,3,1,,
94241103,942411,,,,9.0,2.0,,inapplicable,18.0,,,,9.0,,3,1,,
94245101,942451,,,,,,,inapplicable,60.0,,,,12.0,,4,0,,
94245102,942451,,,,,,,inapplicable,55.0,,,,12.0,,4,0,,
94245103,942451,,,,,,,inapplicable,23.0,,,,9.0,,4,0,,
